character,frequency
e,35099
i,19966
n,19338
a,18356
r,17760
t,17332
s,16551
o,13548
l,12385
d,12254
c,9990
u,7283
p,7043
h,6280
m,6151
g,6137
y,5231
b,4310
f,4146
v,2799
w,2399
k,1681
z,949
j,787
x,740
q,518
ê,8
à,4
