character,frequency
e,44678
s,26461
r,23011
a,22898
t,22743
i,20397
o,18977
d,17717
n,17180
h,16074
l,14705
c,9714
u,8741
p,8453
g,8015
m,6583
f,5570
b,5173
w,4977
y,4692
v,4161
k,2629
j,2291
x,283
z,234
q,166
