character,frequency
e,4071
i,3491
o,3062
s,2905
r,2802
t,2744
a,2663
n,2543
c,1827
l,1753
d,1294
u,1283
p,1268
m,1093
g,805
y,565
b,512
h,485
f,429
v,420
w,217
x,137
k,85
q,45
j,31
z,9
è,1
é,1
