character,frequency
a,36945
e,28785
o,26989
r,20510
s,19628
i,19589
n,12963
t,12575
d,11826
u,11425
l,11299
c,10918
m,10532
p,8363
h,5360
v,5130
b,4145
g,3929
f,2903
ã,2098
z,1610
ç,1490
q,1459
x,1073
j,731
á,516
é,292
õ,202
ó,170
y,133
ô,102
ê,71
k,16
ú,13
í,8
è,5
w,2
à,2
î,1
û,1
