name,frequency
deixou,10
dinheiro,10
doutor,10
ecclesiastica,10
essas,10
febre,10
feio,10
ficámos,10
figura,10
fizera,10
fizeram,10
flamengo,10
gabinete,10
imagina,10
leis,10
mesa,10
momento,10
morto,10
natureza,10
officio,10
ouro,10
papeis,10
parei,10
pediume,10
peito,10
pensamento,10
poderia,10
rapaz,10
sacristão,10
signal,10
suspirou,10
tornei,10
tornou,10
trabalho,10
triste,10
vaidade,10
velhos,10
visinhança,10
viuva,10
acto,9
acção,9
antigo,9
após,9
attenção,9
bolso,9
casmurro,9
cedo,9
clara,9
collegio,9
comecei,9
começou,9
companhia,9
confessar,9
consentiu,9
correr,9
dalli,9
deixa,9
descer,9
devagar,9
difficuldade,9
dissesse,9
distancia,9
dormir,9
durante,9
effectivamente,9
emoção,9
engenho,9
entrada,9
esperança,9
esperanças,9
espirito,9
estudos,9
eterna,9
faço,9
finalmente,9
futuro,9
gato,9
infancia,9
intimidade,9
janellas,9
joven,9
joão,9
juramento,9
lembrame,9
loja,9
maneiras,9
meia,9
meias,9
mesmas,9
mocidade,9
moral,9
mostrar,9
mulheres,9
nesse,9
noticias,9
novas,9
olha,9
olhava,9
olhe,9
omnibus,9
pareciam,9
pediu,9
peguei,9
pena,9
pensando,9
penso,9
penteado,9
poder,9
poço,9
primeiras,9
prompto,9
provavel,9
publico,9
puro,9
querendo,9
rapazes,9
rato,9
receio,9
relações,9
repeti,9
replicou,9
roça,9
sangue,9
santiago,9
santos,9
saude,9
saía,9
sensações,9
situação,9
sómente,9
traz,9
ultimos,9
unico,9
velo,9
vestido,9
vindo,9
virtudes,9
voltandose,9
voltar,9
vozes,9
além,8
ande,8
antigas,8
aquillo,8
beijo,8
benção,8
calado,8
canapé,8
caras,8
carta,8
chacara,8
chicara,8
conselho,8
contou,8
contra,8
creanças,8
cuidei,8
curta,8
dado,8
daria,8
deixe,8
denuncia,8
dera,8
dessas,8
destino,8
differença,8
direita,8
disto,8
doença,8
embargos,8
entender,8
eramos,8
escripto,8
escriptura,8
esperando,8
estavamos,8
fale,8
falei,8
faça,8
feita,8
grave,8
havendo,8
illusão,8
imaginação,8
indo,8
interior,8
justiça,8
labios,8
levou,8
libras,8
mana,8
medico,8
olhei,8
outrora,8
ouvidos,8
paes,8
paginas,8
papa,8
pareceu,8
passava,8
pedro,8
pegou,8
penna,8
peralta,8
perguntava,8
plano,8
prégão,8
queriam,8
saida,8
sapatos,8
semana,8
servir,8
tardes,8
testa,8
theologia,8
tinhamos,8
toada,8
tocava,8
tocha,8
tomar,8
vara,8
varanda,8
veja,8
viver,8
vivo,8
acabei,7
accrescentou,7
adeante,7
alegre,7
algarismos,7
almoço,7
alta,7
altar,7
alvoroço,7
anterior,7
apprender,7
autor,7
bastava,7
batalha,7
belleza,7
bispo,7
boas,7
bons,7
brincando,7
case,7
certamente,7
cesar,7
claros,7
consciencia,7
conta,7
continuei,7
conto,7
cuidados,7
cumprir,7
debaixo,7
defesa,7
divida,7
divina,7
dizelo,7
dono,7
dura,7
entra,7
ergueuse,7
espaço,7
esperava,7
esses,7
estudar,7
explicar,7
falarlhe,7
fazem,7
francamente,7
gosta,7
impressão,7
infinito,7
invalidos,7
janeiro,7
jura,7
largo,7
levasse,7
lhes,7
loteria,7
mandar,7
manhãs,7
