character,frequency
a,30483
e,24597
o,21370
s,17498
i,16240
r,15647
t,11043
n,10908
m,10110
d,9496
c,8988
l,8305
u,8273
p,7440
v,4195
h,3450
g,3213
b,2331
f,2308
q,1548
ç,1295
z,1168
ã,1095
x,773
j,745
ú,347
é,269
á,217
ó,179
õ,158
ê,157
y,96
í,37
ô,33
ò,20
k,3
w,3
è,3
à,2
