name,frequency
mendes,13
natural,13
ordem,13
parar,13
parede,13
passado,13
passava,13
perder,13
philosopho,13
poz,13
prazer,13
presente,13
rico,13
saudades,13
tempos,13
vendilhões,13
vis,13
visitas,13
és,13
aborrecido,12
acto,12
armazem,12
avó,12
bigodes,12
bilhete,12
chuva,12
comtudo,12
continuava,12
costas,12
creança,12
culpa,12
darlhe,12
dizerlhe,12
duvida,12
ficaram,12
fugir,12
gestos,12
historia,12
livro,12
longos,12
morreu,12
moças,12
mulheres,12
natureza,12
nelle,12
novos,12
obra,12
ouvindo,12
pegou,12
pegoulhe,12
pequeno,12
precisava,12
semana,12
sentarse,12
sentouse,12
suspeita,12
ultimos,12
alegria,11
ama,11
anno,11
anterior,11
aquillo,11
batia,11
boas,11
bolso,11
busto,11
cabo,11
canto,11
chegar,11
comer,11
confiança,11
cuidar,11
dama,11
dando,11
deveras,11
differença,11
dissesse,11
dá,11
emfim,11
espantado,11
espelho,11
esperanças,11
facto,11
falta,11
fechou,11
fia,11
finado,11
francez,11
frio,11
gosta,11
gostou,11
imaginação,11
instante,11
joelhos,11
lembranças,11
menor,11
mesmas,11
moleque,11
naquelle,11
ouvido,11
partido,11
perto,11
piedade,11
poder,11
respeito,11
rir,11
rosas,11
ruas,11
sentia,11
sorriso,11
soube,11
taes,11
tia,11
tirou,11
unico,11
vale,11
vendo,11
viagem,11
adeante,10
ajuda,10
amava,10
amo,10
artigo,10
attenção,10
bonitas,10
cahir,10
calor,10
campo,10
canapé,10
caro,10
cerebro,10
chamar,10
cheio,10
conclusão,10
conheço,10
convite,10
cuja,10
deolindo,10
diz,10
domingo,10
encontro,10
entendia,10
escandalo,10
esperando,10
esquerda,10
explicar,10
falla,10
fôr,10
governo,10
herdeiro,10
iase,10
lembrouse,10
lendo,10
levar,10
licença,10
linguagem,10
mandar,10
melhores,10
mostrar,10
moveis,10
neste,10
olha,10
olho,10
ordens,10
orelhas,10
ouvira,10
papae,10
pequena,10
perdido,10
podem,10
primeiras,10
primo,10
principios,10
proposta,10
proprios,10
provavelmente,10
quinze,10
recebeu,10
remorsos,10
seguramente,10
sete,10
singular,10
somno,10
tedio,10
theatro,10
titulo,10
tomou,10
trinta,10
ultimo,10
universal,10
viesse,10
vim,10
achar,9
acima,9
afim,9
amizade,9
baixinho,9
barbeiro,9
bocca,9
bons,9
breve,9
casas,9
chegasse,9
confessou,9
consciencia,9
consideração,9
contemplação,9
cruzeiro,9
davam,9
devagar,9
discurso,9
egreja,9
eis,9
entrada,9
esquina,9
estrada,9
europa,9
explicou,9
falcão,9
fique,9
fiquei,9
fizesse,9
flores,9
folhas,9
fome,9
fortuna,9
fundo,9
gira,9
humana,9
ido,9
imperial,9
impossivel,9
interior,9
invalidos,9
inveja,9
josé,9
joão,9
leitor,9
lembrou,9
levantou,9
levava,9
luta,9
maneiras,9
mentira,9
modos,9
molestia,9
morto,9
mysterio,9
naquella,9
nisto,9
noites,9
numero,9
opinião,9
ouvidor,9
pedaço,9
pedido,9
pediulhe,9
plano,9
possuia,9
praça,9
preto,9
preço,9
principal,9
principalmente,9
provincia,9
publico,9
quizesse,9
responder,9
ria,9
rodrigues,9
romance,9
rumor,9
sahir,9
santo,9
segunda,9
sentado,9
sociedade,9
solteira,9
subir,9
suspirou,9
texto,9
tornar,9
uso,9
victoria,9
visse,9
voltava,9
acaso,8
accordou,8
acção,8
admiração,8
advogado,8
ambas,8
amigas,8
amores,8
antigo,8
aquellas,8
atalaia,8
augusta,8
autor,8
cahiu,8
calados,8
cap,8
castas,8
cattete,8
charutos,8
cheia,8
clausula,8
concordou,8
confusão,8
conta,8
contar,8
contou,8
conversa,8
cortinas,8
costureira,8
côr,8
daria,8
dedo,8
defronte,8
deixasse,8
despediuse,8
direita,8
dissera,8
episodio,8
espaço,8
esperou,8
excellente,8
explicava,8
expressão,8
facil,8
fallasse,8
felizes,8
felizmente,8
filhos,8
fizera,8
flor,8
forte,8
geral,8
golpe,8
grandeza,8
grave,8
heide,8
hespanhol,8
hontem,8
idéa,8
impaciente,8
imperatriz,8
importa,8
impressão,8
inclinouse,8
inteiramente,8
intenção,8
intimidade,8
joias,8
juntos,8
lagrimas,8
lembra,8
lettra,8
leve,8
lia,8
lingua,8
linhas,8
luiz,8
luxo,8
luz,8
mande,8
maneira,8
materia,8
mesmos,8
metteu,8
meza,8
morro,8
mui,8
napoleão,8
nove,8
obras,8
obrigado,8
officio,8
outrora,8
par,8
parado,8
parecem,8
pareceulhe,8
pareciam,8
partidos,8
pensa,8
pensamentos,8
perfeitamente,8
perna,8
possibilidade,8
pudesse,8
quarenta,8
real,8
realidade,8
redarguiu,8
reflexões,8
semanas,8
sensação,8
separação,8
sequeira,8
serio,8
serviços,8
sido,8
sorria,8
sympathia,8
sós,8
tantos,8
tens,8
termos,8
toa,8
tom,8
unica,8
varias,8
vassouras,8
veja,8
viera,8
vira,8
vozes,8
vêr,8
aberta,7
aborrecida,7
abysmo,7
acceitou,7
accudiu,7
amado,7
amar,7
ante,7
atalhou,7
atirouse,7
ausencia,7
azas,7
bellas,7
beneficio,7
bradou,7
calças,7
caras,7
cartas,7
casal,7
cedeu,7
chegaram,7
chegava,7
chinellas,7
coche,7
colera,7
começava,7
commercio,7
comprido,7
condição,7
consigo,7
contas,7
contava,7
contente,7
convivas,7
cuidados,7
cuidava,7
declaração,7
defuncto,7
deixando,7
deixeme,7
desdem,7
despedirse,7
desse,7
desses,7
deuse,7
diante,7
digolhe,7
divida,7
dizendolhe,7
dizialhe,7
dormir,7
dou,7
durou,7
escripto,7
escriptorio,7
especie,7
espero,7
esquecer,7
esqueceu,7
estaria,7
explicação,7
fazelo,7
fazendo,7
faça,7
festa,7
ficando,7
ficavam,7
fina,7
fizeram,7
gloria,7
herança,7
hombro,7
indifferença,7
interessante,7
lei,7
lettras,7
levou,7
linda,7
livre,7
longas,7
menino,7
methodo,7
mez,7
ministros,7
missa,7
momento,7
morangos,7
mortos,7
motivos,7
movimento,7
má,7
máo,7
noticias,7
novamente,7
novo,7
obedeceu,7
obsequio,7
ouvidos,7
parecer,7
pareceu,7
particulares,7
passa,7
pausa,7
peito,7
pensamento,7
perdera,7
perigo,7
pescoço,7
pobres,7
posta,7
poucas,7
presidente,7
pressa,7
professor,7
prometteu,7
queres,7
raio,7
recente,7
recusa,7
relogio,7
repetia,7
respondia,7
réo,7
sabemos,7
sabendo,7
sabor,7
santos,7
sensações,7
signal,7
siqueira,7
som,7
subindo,7
superior,7
tanta,7
tantas,7
tijuca,7
tirar,7
tornava,7
tratou,7
trouxera,7
vaidade,7
vento,7
visinha,7
viver,7
vivia,7
voltar,7
vão,7
aborrecia,6
abrir,6
acho,6
advertiu,6
além,6
anecdota,6
antigos,6
apparecer,6
aquelles,6
arte,6
assignaturas,6
atravessou,6
azul,6
bairro,6
barbas,6
beijo,6
beiços,6
bengala,6
bonitos,6
cabello,6
carruagem,6
casada,6
casamse,6
cem,6
cerca,6
chambre,6
charuto,6
chorava,6
chá,6
cintura,6
clara,6
collegio,6
collete,6
collo,6
comia,6
completamente,6
comprar,6
confirmou,6
conversando,6
corria,6
corte,6
cortezia,6
creia,6
criada,6
criados,6
cuidado,6
curiosidade,6
curioso,6
debaixo,6
defender,6
degráos,6
deixava,6
deixe,6
deixára,6
descendo,6
descia,6
desgraça,6
despeito,6
dessas,6
destino,6
difficil,6
discursos,6
dizem,6
doença,6
dormia,6
duzentos,6
désse,6
educação,6
egual,6
emprestimos,6
engano,6
entendeu,6
entraram,6
escada,6
escravos,6
espantada,6
espere,6
esposa,6
estendeulhe,6
estylo,6
expectaculo,6
fallado,6
fallemos,6
faziam,6
feia,6
feita,6
felo,6
fezse,6
ficaria,6
ficasse,6
formosa,6
fresca,6
gaz,6
geito,6
graças,6
hypothese,6
imagem,6
intimas,6
joelho,6
justiça,6
legado,6
lembrava,6
liberdade,6
longamente,6
matar,6
menina,6
mestre,6
misericordia,6
nariz,6
naturaes,6
nella,6
nessa,6
nesse,6
nesta,6
nova,6
novidade,6
nuca,6
obrigada,6
obrigação,6
obstante,6
ourives,6
ouviam,6
paga,6
pagar,6
pallido,6
passados,6
passam,6
passando,6
peccado,6
pedialhe,6
pelotas,6
perdeu,6
perguntas,6
perguntava,6
phenomeno,6
philosophia,6
phrases,6
podemos,6
poderia,6
portador,6
portas,6
portão,6
preferia,6
prefiro,6
prestes,6
promessa,6
pura,6
queda,6
queixo,6
querendo,6
querido,6
quizer,6
rapido,6
raro,6
receio,6
recuou,6
referiu,6
rei,6
resistencia,6
resistiu,6
retorquiu,6
revista,6
riuse,6
sahida,6
saia,6
saindo,6
salão,6
satisfeito,6
scena,6
seda,6
semelhante,6
sentada,6
sentir,6
sinceridade,6
solidão,6
sombra,6
sorrir,6
soubesse,6
sublime,6
summa,6
séria,6
talento,6
tendo,6
terceiro,6
testador,6
ti,6
tocar,6
tratar,6
traziam,6
trem,6
trezentos,6
tribus,6
tristes,6
valia,6
valsava,6
varanda,6
vejo,6
velhas,6
velhos,6
venha,6
verdadeiro,6
vestidos,6
vexado,6
vexame,6
viria,6
visão,6
viuva,6
viveu,6
voltarete,6
voltouse,6
abanou,5
aberto,5
acompanhou,5
acordou,5
administração,5
adorado,5
adoração,5
affeição,5
agitação,5
almoçar,5
amada,5
ando,5
animo,5
antiga,5
apolices,5
apprender,5
após,5
arranjar,5
arrependido,5
aventura,5
baroneza,5
barra,5
batendo,5
bater,5
beijar,5
beijos,5
bicho,5
bodas,5
bordo,5
borlas,5
botica,5
cabellos,5
calefrio,5
caleça,5
