character,frequency
e,85045
a,51951
i,51104
r,49664
s,49246
t,46959
n,46466
o,44350
d,35344
l,34902
c,23280
h,21210
u,20349
m,19305
g,18107
p,17865
y,17457
f,12375
v,11331
b,9158
k,8340
w,7145
x,1951
j,1060
z,1025
q,981
ï,97
ü,81
é,29
æ,12
è,8
œ,8
ê,4
à,2
ç,1
ë,1
î,1
ô,1
