character,frequency
a,36142
e,34758
o,27665
s,22445
i,17940
r,17532
m,15365
n,13868
u,13699
d,13334
t,12117
c,9676
l,8848
p,7967
v,4981
q,4217
h,4166
g,3213
ã,3147
f,2876
b,2487
z,1505
ç,1296
j,957
x,813
á,681
é,453
ó,414
ú,348
ê,185
õ,161
y,96
ô,63
í,48
ò,26
è,8
k,3
w,3
à,3
