name,frequency
jury,116
marry,116
sin,116
surprised,116
write,116
caught,114
clear,114
fall,114
fenya,114
pale,114
president,114
pulled,114
real,114
small,114
weak,114
clever,112
hardly,112
instance,112
marfa,112
spent,112
state,112
unhappy,112
along,110
beg,110
close,110
fancy,110
fool,110
kissed,110
proud,110
steps,110
surprise,110
witnesses,110
arms,108
bit,108
die,108
forward,108
freedom,108
getting,108
ground,108
knowing,108
worth,108
able,106
aloud,106
also,106
appeared,106
asleep,106
bear,106
future,106
glass,106
jealous,106
nor,106
repeat,106
thy,106
witness,106
cross,104
decided,104
entered,104
guilty,104
jumped,104
master,104
moved,104
past,104
scene,104
smurov,104
society,104
spirit,104
strong,104
twenty,104
water,104
angel,102
damn,102
led,102
lived,102
scarcely,102
anger,100
blame,100
coat,100
coffin,100
cold,100
defense,100
except,100
extraordinary,100
fetyukovitch,100
instantly,100
lies,100
police,100
reached,100
sense,100
showed,100
subject,100
trial,100
awfully,98
best,98
convinced,98
died,98
followed,98
held,98
hours,98
instead,98
itself,98
married,98
months,98
pole,98
raised,98
shame,98
sorry,98
street,98
visit,98
visitors,98
wasnt,98
watch,98
asking,96
complete,96
foot,96
frightened,96
general,96
gods,96
happiness,96
piece,96
youth,96
altogether,94
elders,94
excited,94
ideas,94
near,94
petersburg,94
thief,94
trembling,94
week,94
whose,94
wrote,94
flung,92
hope,92
oclock,92
perezvon,92
pleased,92
respect,92
sign,92
six,92
weve,92
bad,90
confess,90
cut,90
deal,90
didst,90
excitement,90
feelings,90
firmly,90
listening,90
stone,90
trifon,90
understood,90
although,88
christ,88
contempt,88
despair,88
evidently,88
expected,88
explained,88
high,88
imagine,88
interest,88
low,88
passage,88
pride,88
remained,88
return,88
servants,88
sight,88
step,88
age,86
beyond,86
daughter,86
declared,86
dressed,86
fatal,86
flew,86
gate,86
ippolit,86
large,86
likely,86
lot,86
moments,86
play,86
pray,86
quiet,86
special,86
third,86
nose,84
officer,84
order,84
pity,84
threw,84
wrong,84
yours,84
agrafena,82
alive,82
beforehand,82
betrothed,82
chief,82
duty,82
evil,82
fixed,82
hed,82
lawyer,82
pavlovitchs,82
service,82
thank,82
white,82
anxious,80
committed,80
fence,80
finished,80
impression,80
interrupted,80
justice,80
minutes,80
pay,80
prison,80
running,80
seem,80
seems,80
sound,80
superior,80
trouble,80
uttered,80
according,78
alexandrovitch,78
anyway,78
black,78
change,78
curiosity,78
finger,78
fire,78
gentleman,78
grief,78
laid,78
less,78
meeting,78
pestle,78
priest,78
rich,78
school,78
sleep,78
softly,78
tavern,78
wondered,78
worse,78
alexandrovna,76
aside,76
beat,76
begun,76
carry,76
covered,76
crazy,76
delighted,76
expecting,76
fine,76
ha,76
hadnt,76
hatred,76
judge,76
official,76
rose,76
seized,76
siberia,76
sick,76
smerdyakovs,76
strength,76
swear,76
try,76
action,74
appearance,74
big,74
borissovitch,74
childhood,74
decide,74
described,74
facts,74
free,74
grushenkas,74
hard,74
hidden,74
innocent,74
lives,74
loves,74
marya,74
peace,74
plan,74
presence,74
samsonov,74
saved,74
tone,74
unable,74
violent,74
waited,74
watching,74
admit,72
cause,72
escape,72
exactly,72
handkerchief,72
happen,72
hearts,72
humanity,72
ivanovnas,72
ivans,72
kirillovitch,72
liked,72
mad,72
nervous,72
obviously,72
pan,72
pillow,72
precious,72
probably,72
saint,72
smiling,72
spot,72
tchermashnya,72
thin,72
unexpected,72
whispered,72
widow,72
accept,70
andrey,70
apparently,70
bowed,70
breast,70
changed,70
charming,70
conclusion,70
ferapont,70
fingers,70
follow,70
greatly,70
hair,70
horses,70
illness,70
keeping,70
lawyers,70
learned,70
makes,70
miracle,70
panie,70
paper,70
power,70
prisoners,70
public,70
stop,70
weeping,70
wild,70
arrived,68
beauty,68
bound,68
bow,68
breath,68
clearly,68
confession,68
desire,68
dinner,68
disgrace,68
grave,68
knees,68
knocked,68
neck,68
peculiar,68
please,68
serious,68
shant,68
shed,68
somehow,68
suffer,68
walk,68
weep,68
wine,68
within,68
cart,66
continually,66
counsel,66
dignity,66
giving,66
hermitage,66
hurry,66
leaving,66
mine,66
news,66
passing,66
prayer,66
reading,66
seven,66
slowly,66
stolen,66
terror,66
twice,66
warmly,66
whatever,66
condition,64
deep,64
delight,64
details,64
drunken,64
expect,64
fate,64
fully,64
human,64
inquiry,64
insulted,64
lose,64
mystery,64
noble,64
path,64
perfect,64
poles,64
shaking,64
simple,64
somewhere,64
thoughts,64
burst,62
ceased,62
confessed,62
dance,62
despise,62
extremely,62
eye,62
herzenstube,62
ilushas,62
interested,62
investigating,62
loving,62
mercy,62
move,62
natural,62
nice,62
notice,62
shouldnt,62
shouting,62
suspicion,62
sweet,62
touched,62
visitor,62
wall,62
wants,62
act,60
alarm,60
apart,60
brandy,60
broken,60
carriage,60
catch,60
class,60
clothes,60
endure,60
excuse,60
expressed,60
fault,60
fly,60
hate,60
hearing,60
hid,60
ii,60
iii,60
knowledge,60
kuzma,60
law,60
monster,60
moral,60
promise,60
shoulders,60
silly,60
succeeded,60
tea,60
theyre,60
theyve,60
acquaintance,58
beard,58
begged,58
champagne,58
darling,58
difficult,58
due,58
early,58
eh,58
eight,58
exist,58
fancied,58
gazed,58
gloomy,58
goes,58
grew,58
grown,58
heres,58
ignatyevna,58
image,58
intense,58
interesting,58
madam,58
meaning,58
mention,58
mistress,58
persons,58
pistols,58
promised,58
red,58
refuse,58
regular,58
reply,58
seat,58
started,58
statement,58
terribly,58
theyll,58
visited,58
whisper,58
yard,58
absurd,56
add,56
addressing,56
agree,56
bench,56
bless,56
decision,56
dropped,56
earnest,56
force,56
greater,56
hast,56
higher,56
husband,56
jealousy,56
joke,56
lighted,56
realized,56
ruin,56
shown,56
slightest,56
sun,56
therefore,56
thirty,56
thousands,56
arrival,54
aware,54
baby,54
beast,54
beating,54
bitter,54
blessed,54
bottle,54
brain,54
crowd,54
defend,54
distance,54
dreams,54
effect,54
exhausted,54
fever,54
forgot,54
guessed,54
guilt,54
harm,54
holding,54
honest,54
humble,54
hurriedly,54
hysterical,54
inquired,54
leapt,54
learnt,54
loud,54
marriage,54
maybe,54
mothers,54
mr,54
passion,54
pointed,54
pretty,54
relations,54
returned,54
ruined,54
sank,54
shirt,54
sorts,54
taught,54
throw,54
wonder,54
absolutely,52
across,52
attention,52
break,52
buffoon,52
calling,52
cases,52
charge,52
christian,52
conscious,52
consider,52
detail,52
drew,52
drove,52
ended,52
excellent,52
existence,52
favor,52
forgiveness,52
form,52
generous,52
glory,52
greatest,52
hated,52
influence,52
intently,52
iv,52
line,52
mankind,52
material,52
quietly,52
remain,52
rise,52
showing,52
shut,52
signals,52
somewhat,52
spend,52
spiritual,52
touch,52
vassilyevitch,52
view,52
wearing,52
anxiety,50
attack,50
behaved,50
boots,50
bottom,50
bright,50
common,50
confusion,50
darkness,50
drinking,50
dying,50
emotion,50
entirely,50
firm,50
forehead,50
hasnt,50
horror,50
