character,frequency
e,1258
t,896
n,754
o,740
r,684
a,662
i,582
h,580
s,566
l,464
d,390
m,326
g,248
u,244
y,206
p,194
b,190
f,186
w,154
c,146
v,136
k,62
q,18
x,6
j,4
