name,frequency
bourgeois,97
class,91
bourgeoisie,91
society,70
proletariat,63
property,55
conditions,50
production,49
modern,41
social,36
one,32
socialism,30
existence,30
means,29
industry,29
political,28
labour,28
development,26
communists,26
therefore,25
old,25
form,25
relations,24
feudal,24
capital,24
state,23
every,23
working,22
whole,21
german,21
classes,21
new,20
french,20
abolition,20
revolutionary,19
movement,19
struggle,17
proletarians,17
ideas,17
revolution,16
interests,16
existing,16
character,16
time,15
longer,15
historical,15
ruling,14
national,14
first,14
country,14
common,14
place,13
literature,13
industrial,13
communism,13
away,13
antagonisms,13
also,13
thus,12
proportion,12
power,12
order,12
middle,12
individual,12
germany,12
family,12
exploitation,12
countries,12
communist,12
action,12
within,11
reactionary,11
present,11
must,11
great,11
general,11
forces,11
competition,11
work,10
whose,10
products,10
private,10
petty,10
man,10
life,10
instruments,10
history,10
hands,10
freedom,10
free,10
france,10
even,10
developed,10
course,10
commerce,10
word,9
without,9
way,9
wagelabour,9
various,9
system,9
socialist,9
section,9
productive,9
past,9
parties,9
part,9
nations,9
nation,9
material,9
many,9
machinery,9
exchange,9
different,9
condition,9
cannot,9
become,9
ages,9
world,8
workers,8
women,8
proletarian,8
population,8
mode,8
mere,8
made,8
hand,8
generally,8
fight,8
everywhere,8
ever,8
england,8
education,8
crises,8
becomes,8
already,8
true,7
things,7
take,7
supremacy,7
see,7
relation,7
practical,7
philosophical,7
personal,7
party,7
opposition,7
nothing,7
much,7
labourers,7
increase,7
ie,7
far,7
end,7
created,7
appropriation,7
another,7
ancient,7
yet,6
words,6
use,6
upon,6
universal,6
union,6
two,6
thereby,6
systems,6
sway,6
still,6
small,6
set,6
selling,6
put,6
public,6
position,6
point,6
others,6
ones,6
members,6
may,6
long,6
law,6
last,6
industries,6
independent,6
however,6
future,6
forms,6
fact,6
face,6
elements,6
earlier,6
disappearance,6
criticism,6
contest,6
buying,6
bring,6
based,6
aristocracy,6
antagonism,6
agriculture,6
workingclass,5
well,5
trade,5
struggles,5
since,5
science,5
rule,5
religious,5
real,5
radical,5
possible,5
period,5
peasant,5
openly,5
necessarily,5
monarchy,5
merely,5
lose,5
like,5
less,5
large,5
labourer,5
introduce,5
individuality,5
increases,5
half,5
foundation,5
find,5
fantastic,5
eyes,5
expression,5
etc,5
emancipation,5
economic,5
division,5
destroyed,5
constantly,5
compelled,5
community,5
communistic,5
civilisation,5
change,5
century,5
case,5
carried,5
called,5
became,5
among,5
america,5
absolute,5
wrote,4
worldmarket,4
weapons,4
war,4
wages,4
wage,4
views,4
vanish,4
undeveloped,4
took,4
times,4
swept,4
subsistence,4
status,4
spectre,4
socialists,4
single,4
rising,4
question,4
progress,4
previous,4
people,4
partly,4
owing,4
nay,4
movements,4
moment,4
men,4
measures,4
mass,4
markets,4
manufacturing,4
manufacture,4
mans,4
majority,4
little,4
let,4
laws,4
land,4
kind,4
interest,4
intellectual,4
immense,4
immediate,4
ii,4
hence,4
governments,4
given,4
force,4
following,4
factory,4
except,4
eternal,4
epoch,4
ends,4
either,4
dissolution,4
directly,4
direct,4
develops,4
demands,4
daily,4
culture,4
creates,4
converted,4
contrary,4
conservative,4
concentrated,4
completely,4
communication,4
children,4
certain,4
bound,4
best,4
benefit,4
battle,4
back,4
attain,4
asunder,4
association,4
alone,4
almost,4
aims,4
advanced,4
workman,3
wives,3
wealth,3
wants,3
want,3
view,3
victory,3
vanishes,3
united,3
truths,3
transformed,3
traditional,3
towns,3
total,3
torn,3
together,3
support,3
supply,3
strength,3
standpoint,3
stage,3
springing,3
solely,3
sink,3
side,3
served,3
separate,3
sense,3
seen,3
say,3
rise,3
right,3
revolutionising,3
result,3
rest,3
requires,3
reproached,3
reproach,3
representative,3
religion,3
reform,3
reality,3
rapidly,3
railways,3
purely,3
publications,3
product,3
producing,3
produced,3
powers,3
phrases,3
philosophers,3
philistine,3
pettybourgeois,3
person,3
patriarchal,3
overthrow,3
overcome,3
organised,3
organisation,3
oppressed,3
nobility,3
never,3
need,3
necessary,3
navigation,3
morality,3
money,3
modes,3
miserable,3
mean,3
masses,3
market,3
march,3
manufacturer,3
manifesto,3
machine,3
lost,3
local,3
live,3
least,3
leading,3
keeps,3
intervention,3
intending,3
instead,3
increased,3
improvement,3
impossible,3
human,3
home,3
holy,3
hitherto,3
hateful,3
guilds,3
growing,3
ground,3
government,3
got,3
going,3
gave,3
gain,3
front,3
fresh,3
formation,3
finds,3
finally,3
feature,3
fall,3
express,3
exploited,3
example,3
established,3
essential,3
especially,3
epochs,3
epidemic,3
entire,3
english,3
enemies,3
effects,3
due,3
done,3
domain,3
distinctive,3
distinction,3
disappear,3
destroy,3
desire,3
dependent,3
death,3
cost,3
corresponding,3
