character,frequency
e,356254
t,275620
o,238292
a,230498
n,201192
h,196962
i,195198
s,180232
r,158018
d,130392
l,123322
u,90884
m,81346
y,77262
w,68400
f,64002
c,63698
g,58650
p,44810
b,42716
v,37496
k,27648
x,4404
j,3152
q,2610
z,2054
ï,194
ü,162
é,58
æ,24
è,16
œ,16
ê,8
à,4
ç,2
ë,2
î,2
ô,2
