character,frequency
e,10340
i,7602
o,7054
s,6712
r,6574
t,6462
a,6218
n,6088
l,4152
c,3994
d,2942
u,2804
p,2756
m,2570
g,1966
y,1464
h,1404
b,1150
f,1098
v,1014
w,860
k,320
x,288
q,98
j,64
z,20
ê,8
à,4
é,2
è,2
