character,frequency
e,122272
a,71615
t,70913
n,67313
o,67032
i,65037
s,64855
r,61499
l,52142
d,47399
h,34069
u,29260
c,29162
g,27937
m,27279
y,24565
p,21337
w,15867
f,15557
v,15468
k,13824
b,11698
x,2202
q,1305
j,1071
z,1027
ï,97
ü,81
é,29
æ,12
è,8
œ,8
ê,4
à,2
ç,1
ë,1
î,1
ô,1
