character,frequency
e,5170
i,3801
o,3527
s,3356
r,3287
t,3231
a,3109
ã,3052
n,3044
l,2076
c,1997
d,1471
u,1402
p,1378
ç,1296
m,1285
g,983
y,732
h,702
á,604
b,575
f,549
v,507
w,430
ó,414
ú,348
ê,185
õ,161
k,160
x,144
ô,63
q,49
í,47
j,32
ò,26
z,10
à,3
é,1
è,1
